COUNTRY,DATE,AUTHOR,PLATFORM,matched_keyword,TITLE,TEXT,post_reco,comment_text,comment_up,__source_file,judgment,evidence_source
KOREA,2023-10-19,rkdghk123,MLBPark,설거지,결혼/연애 고기 태우는거 후라이팬 코팅 많이 까먹나요?,"‌
기름 안두르고 양념주물럭 구웠더니 겉면이 바삭하게 맛있게 탔던데
이거 설거지하고 벗겨내고 그러면 코팅 금방 상하죠?
추천
0
공유",0,설거지를 어떻게 하냐에 따라....,0,MLB_전체_KW1.csv,no,text
KOREA,2025-12-26,나여~뻭,MLBPark,설거지,펌글 이혼 완료!!,"‌결혼생활을 되돌아 보며 이런 여자와 살았다는게 유머인 듯하여 유게에 올려봅니다.
형님들 시간은 소중하니까 요약먼저 하자면
퐁퐁 생활 하다가 우울증 걸려서 죽을 것 같다가 순간 깨달아 이혼 결심 후 완료하는데까지 3년 정도 걸렸습니다
1. 결혼 전
- 제 자존감이 너무 낮아져있던 상태에서(상사 x새x) 옆자리 앉아있던 여직원에게 대시하여 만나게 되었습니다
- 뭐 술도 잘 마시고, 맛집 탐방도 좋아하고 MT도 종종 가고 그랬습니다.
- 결혼까지는 좀 애매하다 싶었는데....  결혼 적령기 여성분들은 무섭게 빠져나가지 못하게 밀어 붙이더라구요
- 정신 차려보니 드레스 고르고 있었습니다
2. 결혼 초기
- 맞벌이라 집안일도 제가 거진 다하고 음식도 제가 거진 다했습니다.(할줄 아는게 전혀 없음)
- 신혼 초기에는 다들 비슷하자나요...  부부관계를 갖고 싶은데 거부를 합니다. 그래서 오늘은 별론가 보다 하고 넘겼습니다
- 그 뒤 회사 마치고 밥하고 빨래하고 청소하고 샤워하고 분위기 만들어가는데...
화장실 청소까지 했으면 한번 하려고 했는데 아쉽다. ????
- 난 ㅂㅈ장사하는 여자랑 결혼 한건가 싶기도 하고 먼가 당연한게 아니라 댓가성 부부관계라는 정립에 이상함을 느꼈습니다
- 여행을 가도 계획도 내가 세우고 운전도 내가하고 갔는데 힘들다고 건들지 말라고 징징거리고
- 본인은 몸이 약해서 힘들다고 했는데... 어거지로 우겨서 부부관계를 가졌는데 임신이 되었습니다.
- 몸도 약하고 예민했던 성격이 극에 달하게 됩니다.
- 제가 자다가 뒤척였는데...  새벽 3시에 저를 깨우면서 왜 본인 깨웠냐고 화를 냅니다
- 니 숨소리가 너무 커서 잘 수가 없다... 하며 결혼 4개월만에 각방에 접어 들게 됩니다.
- 되게 슬프게도 이게 마지막 잠자리고 12년간 리스로 살게 됩니다(어거지로 우겨서 한것도 한손으로 꼽을수 있습니다)
- 이쯤되니 저도 지쳤나봅니다. 토요일 좀 늦게까지 자는데 자꾸 뭐라고 해서 [야! 잠좀 자자!!] 라고 소리쳤다가
장모님과 처형이 집에 옵니다. 이서방 야라고는 하지 않았으면 좋겠네... ㅋㅋㅋㅋㅋㅋㅋ 아놔 쓰면서도 화가 나네요 ㅠㅠ
3. 육아시기
- 산후우울증이 왔다. 죽을 것 같다. 장모님, 처남, 처형 등이 돌아가면서 집에 옵니다
- 회사 모임이 오후 6시에 있어서 좀 늦을 거라고 미리 말하니 4시부터 언제오냐며 톡을 합니다
6시인데 아직 안끝났냐고 톡을 해서 아직 가지도 못했다고 하고 무슨일 있나 싶어 집에 갔습니다
배달음식 시켜먹고 있더라구요....
- 아기 목욕시키고 분유타서 먹이고 업고 돌아다닙니다
- 전 부인은 누워서 핸드폰을 만지작 거립니다. 회사 일이고 뭐고 집에와서 애나 보라는 말이었나봅니다
- 다른 날 회사 모임을 갔는데.... 부재중 전화가 20통이 옵니다... 30분 안되는 시간에
미리 이야기 했고 임원분들과 함께 있는 자리에서 이렇게 초를 치니... 임원분이 넌 그만 집에 가라고 합니다
- 집에 가니 말 한마디 못하는 아이랑 하루 종일 있는게 어떤 기분인지 아냐고 애를 침대에 던져버립니다
그 말한마디 못하는 아이가 태어난지 200일 정도 된 제 아이고, 던진 년은 애 엄마입니다
- 정신에 문제 있는 것 같다고 하자 니 정신이 더 문제라면서 쌩GR을 합니다
(이때라도.....)
- 승진도 안되고 회사에서도 안좋은 이미지 쌓고...  이래선 안되겠다 싶어 처의 의견을 수용하여 처가 근처로 이사를 갑니다
출퇴근 시간은 편도 40분에서 2시간으로 늘어났지만 처가 식구들한테 도움도 받겠지란 마음도 좀 있었습니다
- 하지만 퇴근 하고 집에와서 밥솥 눌러놓고 반찬 마련하고 빨래 돌리고 밥 먹고 설거지 하고 청소하고 빨래 널고
본인 산후통으로 몸이 안좋으니 마사지 해달라고 하여 핸드크림 이용하여 정성스럽게 마사지를 해줍니다
40분 넘어가니 압이 쎄다며 저리 꺼지라고 발로 찹니다. 인질 잡듯이 애기하고 같이 자며 저는 혼자 잡니다
- 번아웃이 이럴때 쓰는 걸까요? 이런 생활이 반복되다보니 아무런 힘이 없었습니다
새벽 5시 30분에 일어나 6시 전에 출근해서 집에 오면 7시인데 온갖 집안일을 내가 하는데
주말이면 분유랑 분유통이랑 귀저기 등 챙겨서 핏덩이 카시트에 채워서 혼자 본가 가고
나 없으면 목욕도 혼자 못시키는 X가...   외벌이라 그런지 독박 육아라고... 하하하
소주 3병 마시고 들어가도 애 목욕시키고 분유먹이고 트름 시켜서 포대기 해서 밖에 나가서 재우고 했는데...
독박육아의 힘듬을 니가 아냐. 왜 아이의 성은 니 성을 따라야 하냐 내 성을 따라야 한다 같이 넣자 등
(이때라도.... 상식 밖의 이야기를 할때...  눈치 챘어야 했는데 싶었습니다.)
제가 인싸는 아니지만 찐친들이 4무리 정도 되는데
이 친구들과의 연결을 끊어 버립니다. 아무것도 못하게 하고 어디도 못가게 합니다
처가가 가까우니 어머님께 맡기고 우리도 숨좀 돌리자 하니 우리 엄마가 애보는 시녀냐고
우리 엄마 바쁘고 애 봐줄 시간 없으니 말 같지도 않은 소리 하지 말라네요...
난 머리털 나고 티비나 교과서에서만 보던 지역에 와서 살고 있는데....
나는 임신시켜 애를 낳게 한 죄로 이리 살고 있고, 그 피해는 전처가 고스란히 받고 있다는
지금 생각하면 말인지 방구인지 하는 논리를 들이 대더라구요
- 확실하게 승진할 거라고 믿었는데 미끄러졌습니다. 너무 힘들고 술한잔 할 사람도 없고 방구석에 앉아 있었는데
니가 그따위로 사니까 승진을 못하지 정신 똑바로 차리고 살아 BS아..... 라는 워딩을 하고 문을 닫네요
방구석에 불도 안켜고 앉아만 있었는데 승진도 못하고 와이프는 저주를 내뱉고 새벽 3시가 지났는데 잠이 안오더라구요
19층 정도 되었었는데... 여기서 떨어지면 아플까?  많이 안아프지 않을까? 란 말도 안되는 생각을 하게 됩니다.
생각만 한게 다행이었죠... 이 시기부터 무력감으로 아무것도 못하고 아무말도 안하고 집안일도 안하고 애도 안보게 됩니다
4. 지금 돌이켜보며 우울증이었던 시기
- 리스가 3년정도 지나자 미칠 것 같았습니다.
발정난 x새x도 아니고 힘은 뻗는데 쓸데가 없으니 사람 환장하겠더라구요
회사 생활은 그냥 저냥 하고 있습니다. 웃기는 하는데 화내는 법을 잃어버려서 종일 웃고만 있었던 것 같습니다
집에 오면 아무말도 안하고 그냥 멍하니 있었습니다.
집에 들어가기가 싫더라구요
여기는 처가 근처 부를 친구도 없고 편의점에서 컵라면 하나에 소주 하나 먹고 차에서 자다가 늦게 들어가곤 했습니다
- 부부상담을 제안해서 갔습니다.
그것도 아이를 제대로 키우기 위한 자녀를 위한 상담이라고 뻥쳐서 다녀왔습니다.
어릴때 부모로 부터 학대를 당했냐. 부모님과의 관계는 어떠냐 등등... 교수가 말도 안되는 소리만 하더라구요
따박따박 말하고 이렇다 저렇다. 편도 두시간 출근거리로 이사왔는데 정작 처가에서는 1도 도움을 안준다고 하고
전처가 가자고 해서 이사온건데 제가 우겨서 이리 이사 왔다고 하네요
이런 상황에서 무슨 말을 하냐고 되묻고 하니....
교수가 그동안 너무 많이 힘들었던 것 같다고 고생했다고 위로해주네요
부부상담 후 문제가 조금 더 있어보이는 사람을 남아서 따로 상담을 하는데...
다음부터는 전처가 남게 될 거라고 하더라구요
부부상담 후 한마디가 [말 잘하더라] 이 한마디가 끝이었습니다 ㅋㅋㅋㅋㅋ
5. 이혼 결심 시기.
- 둘이 있는게 너무 어색해서 아이 교육에 안좋을 것 같아서 여행을 많이 다녔습니다
전 여럿이서 가면 좋겠지만 다른 사람들과 함께 있는 게 불편하다고 3명이서만 다녔습니다
그러다가 장모님, 처남, 처형네 등 오면 같이 가곤 했지요
그런데 우리 부모님하고는 불편해서 같이 가기 힘들다고 하네요.
정확한 워딩으로는 [내가 니 부모님하고 갈수 있는 여행은 1박 2일이 한계야 ] 라고 말할 때
아... 우리 엄마 아빠가 너한테는 그런 존재였구나... 그럼 니네 가족과 같이 여행 다녔던 나는 모지?
숙소 예약해, 운전해, 식당 알아봐, 처가 식구들 픽업해, 돈도 내 카드로 해......
아 호구 잡혔구나. 우리 엄마가 아빠가 너한테 이런 대접 받는줄 모르실텐데.....
이사하고 며느리 불편할까봐 7년동안 딱 1번 오셔서 식사하시고 과일먹고 그냥 가셨는데....
정신이 확 들더라구요
이 사람과 살면 지금은 그냥저냥 버니까 괜찮아도 노년에는 개밥 신세도 못 면하겠구나
아들은 친구와 친구 부모님이 있는 가운데 우리집은 아빠가 돈을 못 벌어서 가난하단 소리를 하고
한번 안아주려고 가면 싫다고 아빠 저리가라고 하고
그따위로 사니까 승진을 못하지 정신 똑바로 차리고 살아 BS아가 머리속에 멤돌고
전 여자친구와는 대실해서 7번 연속 4시간동안 쉬지 않고 물고 빨고 하던 내 성욕이 폭발하기도 하고
나이 마흔 넘어서 몽정할 줄이야.....(몽정 후 품번 찾아서 혼자 위로 하며 주기적으로 빼고 있습니다 ㅠㅠ)
- 5시 반에 일어나서 출근하는데 너무 머리 아프고 복잡한일이 많아서 한시간 정도 일찍 일어났습니다.
일찍 일어났는데 아침 먹고 가야겠다 싶어 밥솥에서 밥좀 푸고 고추장에 참기름 넣어서 비벼먹었습니다
비비는 달그락 소리가 너무 크다 온 아파트에 너 출근하는 거 알리려고 그러냐
사람이 상식이 없냐 왜 그 따위로 사냐.... 등 하면서 소리 안나는 실리콘 수저를 사다 놨더라구요 ㅋㅋㅋ
이것도 치욕인데....
또 일찍 일어나서 그렇게 먹고 갔더니 그릇을 물에 담가두지 않아서 고추장, 참기름 냄새가 빠지지 않는다
하루 종일 머리 아파서 아무것도 못했다 일부러 그러는 거냐 뭐냐.... 해서
물틀으면 시끄러울까봐 조용히 싱크대에 내려만 놓았다 라고 대답을 했는데... 왜이렇게 치욕스러운지
아침에 내가 깨워달라고 한것도 아니고 밥을 차리란 것도 아니고... 서러움이 폭발하더라구요
머 이런 여러가지 이유로 이제는 그만 살자!! 로 귀결되었습니다.
그렇게 이혼 결심을 확고히 하고 이혼까지 3년 걸렸습니다.
아이 생각하면 정말 쉽지 않더라구요
전처는 아직도 제가 정신 차리고 똑바로 살면 같이 살아줄 의향이 있다네요...
혼자 일찍 일어나서 출근하고 일찍 퇴근해서 집 청소 같이하고(말은 같이지만 제가 다 해야합니다 늘상 그래왔으니)
설거지 하고 아이와 놀아주고 아이 공부도 봐주고 아이 목욕도 시키고(이건 지금도 하는 일이라...)
그럼 같이 살아주겠데요 ㅋㅋㅋㅋ
이년아 이제 내가 싫다.
작년 10월 협의이혼 마치고 이제 조정기간도 마쳐서 법적으로 총각으로 돌아왔습니다.
15년의 결혼생활이 이렇게 파국을 맞아서 너무 가슴아프고 그런데.... 자꾸 웃음만 납니다 ㅎㅎㅎ
올 여름엔 강원도 한번, 서해 한번, 제주도 한번 이렇게 아들 데리고 여행 다녀와야겠습니다 ㅎㅎ
결혼도 쉽지 않은데 이혼은 백배는 더 힘드네요...
나이에 맞춰서 이정도면 괜찮지 않을까 싶은 결혼을 한 제가 후회스럽고, 더 일찍 이혼하지 못한게 한이네요
앞으로 살아갈 날이 더 많이 남아있기에 잘 헤어진 것 같다고 어머님이 응원해주시네요 ^^;;...
자극적인 제목 죄송합니다.
보배 형님들은 항상 행복하시고 좋은 일들만 가득하시길 기원합니다!
추천183공유
추천
485
공유",485,글쓴분의 최대 잘못 *정신차려보니 결혼*입니다. 평생 함께할 반려자를 최소한의 고민과 각오없이 선택하다니요. 인생  막 살자고 결심한 것도 아니고 이건 변명의 여지없는 잘못입니다. 모든 선택에는 결과에 대한 책임이 따르는 것인데 15년의 세월로 값을 치룬걸로 생각해야합니다. 그러나 많은 분들은 자신의 실수와 잘못은 인정하지않고 재수없어 걸렸다고 생각하죠. 그래서 똑같은 실수를 반복하더군요. 전처가 엄청 예쁜데 사치스러워서 감당 못해서 5년만에 이혼한 직장동료 있었는데 다시 만난 여친 명품 계속 사다받치고 있습디다. 자기반성이 먼저.,0,MLB_전체_KW1.csv,no,text
KOREA,2023-02-07,Unknown,FMkorea,설거지,식기세척기는 진짜 논란의 대상이 아닌데,"로봇청소기는 어차피 청소기를 내가 다시 관리해줘야해서 그나마 좀 논란 될지 몰라도
식기세척기는 캐스케이드랑 같이 쓰면 인생이 바뀌는데
와이프 맨날 설거지하느라 저녁먹으면 9시 넘어서 설거지 끝났는데
이제 먹고 헹구고 넣고 끝나니까 8시부터 넷플릭스봄 ㅋㅋ
게다가 캐스케이드 세척제 쓰면 식세기 안까지 자동으로 매번 청소되니까 걱정할게 없음
거기에 매번 고온 살균 소독하니까 그릇 꺼낼때마다 쾌적함
거의 피쳐폰에서 스마트폰 넘어가는 수준임",15,"일펨싸개
개죽이는 모르는 세상이죠",1,FM자유_kw1.csv,no,text
KOREA,2023-06-20,엘지LG엘지,MLBPark,설거지,방송 나의아저씨 1화 보는데 너무 우울한데요??,"불펜에서 추천들을 하도 많이 하셔서
처음으로 보는중입니다.
근데 1화부터 너무 우울한데요?
아이유는 설거지하다 음쓰를 싸가네요ㅠ
이선균 와이프는 설마 그건가요...
드라마가 내내 우울한 분위기인가요?
추천
0
공유",0,1회만 넘기면 된다는데 몇번 시도해도 1회를 못넘겨서 아직 못보는 1인입니다.,0,MLB_전체_KW1.csv,no,text
KOREA,2022-04-13,Unknown,FMkorea,설거지,돈만 있으면 살림 진짜 개좆밥아님?,"빨래는 세탁기,건조기 돌리고
청소는 청소기,로봇청소기 돌리고
설거지는 식기세척기 잇고
걍 점심쯤 몰아서하면
나머지 다 자유시간아님?",1,사람을 고용하지 않을까?,0,FM정치_kw1.csv,no,text
KOREA,2018-08-24,ㅇㅋ (175.223),DCinside,설거지,요즘 무조건 거르는.... 배달음식집...jpg,"좆회용 용기' 이거 쓰는 새끼들 집은 무조건 거름 좆회용 용기 쓰는 이유가 그냥 지들 설거지, 그릇 수거 귀찮으니까 직무유기하고 손님한테 모든 책임 떠넘기는거 그 이상 그 이하도 아님. 게다가 거의 대부분의 음식점은 배달비에 최소배달 조건까지 내걸고 판매하고 있어서 대부분 15000은 넘어감. 근데 좆회용 용기? 씹창렬이나 다름없음 걍 장사할 마음이 없다는거 ㅇㅇ 차라리 그릇 씻어서 주는게 낫지 일회용 그릇 쓰면 건강에도 수십배 안좋음 플라스틱 써서 환경에도 안좋고 이거 쓰는 집은 절대 시키지마라 돈낭비 ㅇㅇ",330,설거지꼬라지 보고 이런소리하냐  - dc App,0,DC_new7_kw1.csv,no,text
KOREA,2024-09-07,Unknown,FMkorea,설거지,군대 습관 남아있는거 있냐 다들,"난 팬티랑 양말 아직도 군대식으로 개고
비닐같은거 쪽지 만들어서 버리고
설거지할 때 통에다가 세제에 뿌리고 물 부어서 거품내서 그 거품으로 설거지함ㅋㅋ",15,수건 빨아서 수납장에 넣을때 칼각 잡아서 넣음,1,FM자유_kw1.csv,no,text
KOREA,2023-12-14,Unknown,FMkorea,설거지,군대에서 설거지나 세탁기 세제도 따로 샀냐???,"이런 분들은 대체 몇년도 군번이신거냐? ㄷㄷㄷㄷ
라떼도 주방에 트리오, 세탁실에 브라이트 운영비로 다 사다놨었는데 ㄷㄷㄷ",3,"빨래비누 있잖아
농담 아니라 라떼는 식기도 빨래비누 썻음;",1,FM정치_kw1.csv,no,title
KOREA,2024-10-28,엽경염,MLBPark,설거지,고민상담 부모님이 한심해보입니다.,"안녕하세요, 30대 불페너입니다.
반복되는 부모님의 갈등을 보면서 한심하다는 생각이 듭니다. 누워서 침뱉기인 줄 알지만 답답해서 글 남겨봅니다.
1. 아버지는 자영업, 어머니는 가정주부였습니다. 그러나 아버지의 일거리가 현저히 줄면서 약 20년 전부터는 아버지가 살림, 어머니가 자영업을 하고 있습니다.
2. 최근 몇 년간 부모님의 갈등이 잦습니다. 보통은 어머니가 퇴근하거나, 출근하지 않는 날 제가 보기엔 사소한 것으로 다툽니다. (예를 들면, 집안 청소 상태가 마음에 안든다던지, 설거지 후 싱크대에 물기가 남아있다던지, 집안 물건 비치 위치가 어머니 마음에 안든다던지)
3. 아버지는 2.같은 상황들을 답답해하고, 특히 본인이 살림을 주로  하기 때문에 물건 위치 바꾸는건 하지 말라고도 하나, 바뀌는 건 없습니다. (어머니가 주로 후라이팬, 냄비 등 가재도구의 위치를 임의로 바꿔놓고 가고, 왜 그러느냐고 물어보면 그게 맞는 자리랍니다.)
4. 어제는 아버지가 과자를 드시고 식탁에 빈 봉투를 두었다는 이유로 어머니가 화를 내며 갈등이 시작됐습니다.
5. 어머니는 아버지에게 노후 준비를 하려면 10년 이상 일해야 하는데, 언제까지 일 안하고 빨대 꽂고 살거냐며, 나가서 대리운전이나 버스기사라도 하던지 아니면 죽으라고 말했습니다. 동생이 6년 넘게 취준 중인 것도 아버지 탓이고, 아버지가 일할때도 쥐꼬리만한 월급으로 생활하느라 힘들었다면서요.
6. 전에도 아버지는 현재 새로운 일을 해야 하지 않겠냐고 하면, 능력이 없다, 나이가 차서 할 수 있는 일이 없다고만 하니 의지가 없어보여 답답하기도 합니다.
7. 저도 노후 준비가 필요하다는 말엔 공감했고, 두분이 상의할 일이라고 생각했지만 말이 지나쳐 제가 제지를 하면서 어머니에게 언성을 높이고 상황은 끝났습니다.
7.  저도 언성 높인것은 백번 잘못한 일이라 생각은 듭니다. 아버지의 태도도 답답하고, 가족 구성원을 존중하지 않는 어머니의 언행이 반복되는 게 보기 싫고 스트레스가 됩니다.
결론: 같은 문제는 계속 반복될 가능성이 커보여 답답하고 어머니는 솔직히 집안 분위기 망치는 모습도 싫고 얼굴 보기도 싫습니다. 하지만 위 상황을 제가 해결할 방법은 없는 것 같아 답답하네요.. 그냥 신경 끄는 수밖에 없는걸까요?
추천
1
공유",1,삭제된 댓글입니다,0,MLB_전체_KW1.csv,no,text
KOREA,2021-10-25,ㅇㅇ (118.235),DCinside,설거지,근데 설거지 그게뭐 어렵냐?,그냥 음식먹고 휴지로 싹 한번 닦으면 끝나는데 나 싱크대물 틀어본적없는데,0,,0,DC_new10_kw1.csv,no,text
